customer_id,age,tenure_months,monthly_charge,state,plan,signup_date,support_tickets,churned,last_payment,data_source,cancellation_reason,notes
C00000,23,23,42.53,WA,basic,2021-05-24,1,0,$56.53,crm_export,,note-0
C00001,69,4,56.47,NY,pro,2020-12-18,1,0,$39.27,crm_export,,note-1
C00002,61,75,76.8,TX,basic,2021-06-14,1,0,$69.63,crm_export,,note-2
C00003,47,81,54.29,WA,pro,2022-04-27,1,0,$55.46,crm_export,,note-3
C00004,47,92,63.04,TX,basic,2021-02-14,1,0,$70.59,crm_export,,note-4
C00005,75,114,81.03,CA,basic,2021-05-04,4,0,$61.58,crm_export,,note-5
C00006,23,59,61.28,CA,basic,2021-01-30,1,0,$55.65,crm_export,,note-6
C00007,64,99,75.65,calif.,enterprise,2022-07-22,0,0,$64.64,crm_export,,note-7
C00008,31,85,109.82,N.Y.,pro,2020-03-17,1,0,$68.53,crm_export,,note-8
C00009,24,33,65.7,WA,pro,2023-07-09,1,0,$83.90,crm_export,,note-9
C00010,53,101,99.48,CA,pro,2022-02-15,1,0,$78.46,crm_export,,note-10
C00011,83,6,83.98,TX,basic,2020-12-08,0,0,$111.89,crm_export,,note-11
C00012,67,71,,NY,enterprise,2022-11-29,0,0,$72.83,crm_export,,note-12
C00013,68,112,42.45,TX,basic,2023-08-08,1,0,$56.54,crm_export,,note-13
C00014,66,79,49.16,TX,basic,2020-03-22,0,0,$66.67,crm_export,,note-14
C00015,70,112,48.63,NY,basic,2020-10-13,0,0,$81.37,crm_export,,note-15
C00016,52,6,67.74,calif.,basic,2020-07-20,2,0,$90.07,crm_export,,note-16
C00017,26,63,85.37,N.Y.,pro,2020-04-08,2,0,$96.83,crm_export,,note-17
C00018,74,93,101.38,TX,basic,2022-10-31,0,0,$49.66,crm_export,,note-18
C00019,48,77,77.7,NY,pro,2020-09-26,2,1,$95.61,crm_export,service,note-19
C00020,51,105,,NY,enterprise,2021-06-20,4,0,$69.08,crm_export,,note-20
C00021,42,55,17.94,CA,basic,2023-02-14,1,0,$51.46,crm_export,,note-21
C00022,30,81,,CA,basic,2022-05-06,2,0,$65.92,crm_export,,note-22
C00023,80,50,70.64,CA,pro,2022-08-06,2,0,$94.22,crm_export,,note-23
C00024,70,104,74.57,NY,basic,2020-05-16,1,0,$79.15,crm_export,,note-24
C00025,61,14,122.66,CA,pro,2023-09-21,0,0,$45.76,crm_export,,note-25
C00026,44,30,101.01,NY,basic,2020-04-25,1,0,$45.91,crm_export,,note-26
C00027,73,-1,89.63,NY,basic,2022-09-20,3,0,$45.35,crm_export,,note-27
C00028,54,84,,NY,basic,2022-06-14,3,0,$55.37,crm_export,,note-28
C00029,999,27,57.18,CA,basic,2021-07-31,1,0,$71.55,crm_export,,note-29
C00030,48,38,67.63,CA,basic,2023-03-19,0,0,$47.48,crm_export,,note-30
C00031,33,100,50.61,WA,basic,2023-06-03,3,0,$61.43,crm_export,,note-31
C00032,24,43,,FL,basic,2020-04-08,1,0,$98.04,crm_export,,note-32
C00033,55,17,78.92,CA,pro,2023-09-03,2,0,$102.36,crm_export,,note-33
C00034,77,2,42.79,NY,basic,2020-12-03,1,1,$101.01,crm_export,price,note-34
C00035,22,27,99.92,NY,basic,2023-01-13,2,1,$34.10,crm_export,price,note-35
C00036,75,109,72.56,WA,basic,2023-02-23,1,0,$103.47,crm_export,,note-36
C00037,73,65,26.77,WA,basic,2022-02-18,0,0,$71.83,crm_export,,note-37
C00038,36,119,68.72,FL,basic,2023-04-23,2,0,$71.56,crm_export,,note-38
C00039,60,25,77.03,New York,pro,2023-03-02,0,0,$90.58,crm_export,,note-39
C00040,29,42,94.32,TX,basic,2022-01-01,5,1,$84.07,crm_export,moved,note-40
C00041,68,19,61.56,TX,pro,2020-09-07,0,0,$32.63,crm_export,,note-41
C00042,64,47,90.7,FL,basic,2021-08-31,3,0,$57.75,crm_export,,note-42
C00043,41,67,74.68,WA,basic,2023-06-14,2,0,$62.68,crm_export,,note-43
C00044,22,96,37.12,NY,basic,2020-10-10,4,0,$43.39,crm_export,,note-44
C00045,83,44,34.62,TX,pro,2023-10-31,1,0,$89.94,crm_export,,note-45
C00046,47,92,98.06,NY,enterprise,2020-09-11,5,0,$98.78,crm_export,,note-46
C00047,77,75,,NY,basic,2022-07-20,1,0,$69.79,crm_export,,note-47
C00048,63,35,78.07,NY,enterprise,2022-06-16,3,0,$75.97,crm_export,,note-48
C00049,70,109,107.39,FL,basic,2020-10-01,1,0,$69.77,crm_export,,note-49
C00050,68,52,96.42,TX,basic,2021-10-23,4,1,$71.98,crm_export,moved,note-50
C00051,31,18,,New York,pro,2020-07-21,0,0,$92.35,crm_export,,note-51
C00052,42,115,47.22,FL,basic,2021-05-25,2,0,$34.69,crm_export,,note-52
C00053,49,109,113.29,NY,basic,2023-09-05,0,0,$79.72,crm_export,,note-53
C00054,51,5,83.41,WA,basic,2020-03-17,1,0,$70.24,crm_export,,note-54
C00055,20,108,60.35,CA,pro,2023-05-04,1,0,$55.73,crm_export,,note-55
C00056,999,113,53.29,WA,basic,2022-08-06,1,0,$59.93,crm_export,,note-56
C00057,28,99,76.42,CA,pro,2022-11-14,0,0,$106.65,crm_export,,note-57
C00058,67,30,28.22,NY,basic,2021-01-29,0,0,$43.45,crm_export,,note-58
C00059,63,75,87.49,WA,enterprise,2023-08-21,0,1,$66.63,crm_export,moved,note-59
C00060,79,64,46.16,FL,basic,2020-12-20,2,0,$102.59,crm_export,,note-60
C00061,67,74,79.27,NY,pro,2021-12-05,2,0,$44.60,crm_export,,note-61
